"","age","sex","year","pop"
"1","01 - 04","male","2010",-11003474
"2","05 - 09","male","2010",-13303225
"3","10 - 14","male","2010",-13705079
"4","15 - 19","male","2010",-14818973
"5","20 - 24","male","2010",-16124651
"6","25 - 29","male","2010",-16923848
"7","30 - 34","male","2010",-17808877
"8","35 - 39","male","2010",-18386198
"9","40 - 44","male","2010",-19161021
"10","45 - 49","male","2010",-18676468
"11","50 - 54","male","2010",-17326198
"12","55 - 59","male","2010",-15807011
"13","60 - 64","male","2010",-14401063
"14","65 - 69","male","2010",-11261195
"15","70 - 74","male","2010",-10046293
"16","75 - 79","male","2010",-7606095
"17","80+","male","2010",-8114660
"18","01 - 04","female","2010",10451774
"19","05 - 09","female","2010",12638376
"20","10 - 14","female","2010",13013529
"21","15 - 19","female","2010",14084687
"22","20 - 24","female","2010",15607162
"23","25 - 29","female","2010",16615420
"24","30 - 34","female","2010",17449779
"25","35 - 39","female","2010",18086541
"26","40 - 44","female","2010",18944269
"27","45 - 49","female","2010",18684239
"28","50 - 54","female","2010",17695116
"29","55 - 59","female","2010",16585517
"30","60 - 64","female","2010",15477907
"31","65 - 69","female","2010",12689161
"32","70 - 74","female","2010",12312785
"33","75 - 79","female","2010",10512525
"34","80+","female","2010",15687164
"35","01 - 04","male","2011",-11084070
"36","05 - 09","male","2011",-13373792
"37","10 - 14","male","2011",-13653876
"38","15 - 19","male","2011",-14540594
"39","20 - 24","male","2011",-16009706
"40","25 - 29","male","2011",-16764008
"41","30 - 34","male","2011",-17721592
"42","35 - 39","male","2011",-18243054
"43","40 - 44","male","2011",-19050839
"44","45 - 49","male","2011",-18790212
"45","50 - 54","male","2011",-17498711
"46","55 - 59","male","2011",-15948352
"47","60 - 64","male","2011",-14817778
"48","65 - 69","male","2011",-11261459
"49","70 - 74","male","2011",-10177401
"50","75 - 79","male","2011",-7733347
"51","80+","male","2011",-8425731
"52","01 - 04","female","2011",10530001
"53","05 - 09","female","2011",12707477
"54","10 - 14","female","2011",12963363
"55","15 - 19","female","2011",13818176
"56","20 - 24","female","2011",15479089
"57","25 - 29","female","2011",16465885
"58","30 - 34","female","2011",17401459
"59","35 - 39","female","2011",17959669
"60","40 - 44","female","2011",18856000
"61","45 - 49","female","2011",18790723
"62","50 - 54","female","2011",17854681
"63","55 - 59","female","2011",16727873
"64","60 - 64","female","2011",15942227
"65","65 - 69","female","2011",12656046
"66","70 - 74","female","2011",12386134
"67","75 - 79","female","2011",10581888
"68","80+","female","2011",16082194
"69","01 - 04","male","2012",-11081516
"70","05 - 09","male","2012",-13515360
"71","10 - 14","male","2012",-13574711
"72","15 - 19","male","2012",-14329427
"73","20 - 24","male","2012",-15849369
"74","25 - 29","male","2012",-16636244
"75","30 - 34","male","2012",-17615574
"76","35 - 39","male","2012",-18120452
"77","40 - 44","male","2012",-18885239
"78","45 - 49","male","2012",-18895356
"79","50 - 54","male","2012",-17669042
"80","55 - 59","male","2012",-16124951
"81","60 - 64","male","2012",-14894548
"82","65 - 69","male","2012",-11759442
"83","70 - 74","male","2012",-10121463
"84","75 - 79","male","2012",-7890552
"85","80+","male","2012",-8718564
"86","01 - 04","female","2012",10528686
"87","05 - 09","female","2012",12839097
"88","10 - 14","female","2012",12887689
"89","15 - 19","female","2012",13607322
"90","20 - 24","female","2012",15303497
"91","25 - 29","female","2012",16340169
"92","30 - 34","female","2012",17332757
"93","35 - 39","female","2012",17841736
"94","40 - 44","female","2012",18712840
"95","45 - 49","female","2012",18886420
"96","50 - 54","female","2012",18006367
"97","55 - 59","female","2012",16896624
"98","60 - 64","female","2012",16050633
"99","65 - 69","female","2012",13177718
"100","70 - 74","female","2012",12239213
"101","75 - 79","female","2012",10708341
"102","80+","female","2012",16410540
"103","01 - 04","male","2013",-11001483
"104","05 - 09","male","2013",-13687324
"105","10 - 14","male","2013",-13518988
"106","15 - 19","male","2013",-14159831
"107","20 - 24","male","2013",-15647148
"108","25 - 29","male","2013",-16568941
"109","30 - 34","male","2013",-17508782
"110","35 - 39","male","2013",-18016812
"111","40 - 44","male","2013",-18628166
"112","45 - 49","male","2013",-18992936
"113","50 - 54","male","2013",-17857707
"114","55 - 59","male","2013",-16310955
"115","60 - 64","male","2013",-14930058
"116","65 - 69","male","2013",-12264655
"117","70 - 74","male","2013",-10094836
"118","75 - 79","male","2013",-8074224
"119","80+","male","2013",-8996513
"120","01 - 04","female","2013",10451565
"121","05 - 09","female","2013",13000253
"122","10 - 14","female","2013",12834143
"123","15 - 19","female","2013",13425876
"124","20 - 24","female","2013",15079005
"125","25 - 29","female","2013",16255773
"126","30 - 34","female","2013",17247862
"127","35 - 39","female","2013",17742443
"128","40 - 44","female","2013",18465348
"129","45 - 49","female","2013",18981093
"130","50 - 54","female","2013",18170200
"131","55 - 59","female","2013",17065600
"132","60 - 64","female","2013",16114329
"133","65 - 69","female","2013",13712268
"134","70 - 74","female","2013",12134569
"135","75 - 79","female","2013",10856110
"136","80+","female","2013",16712923
"137","01 - 04","male","2014",-10870369
"138","05 - 09","male","2014",-13847893
"139","10 - 14","male","2014",-13509025
"140","15 - 19","male","2014",-14063868
"141","20 - 24","male","2014",-15410280
"142","25 - 29","male","2014",-16528467
"143","30 - 34","male","2014",-17360559
"144","35 - 39","male","2014",-17941703
"145","40 - 44","male","2014",-18425163
"146","45 - 49","male","2014",-18984955
"147","50 - 54","male","2014",-18057531
"148","55 - 59","male","2014",-16517408
"149","60 - 64","male","2014",-14919271
"150","65 - 69","male","2014",-12771395
"151","70 - 74","male","2014",-10087615
"152","75 - 79","male","2014",-8245745
"153","80+","male","2014",-9320590
"154","01 - 04","female","2014",10325546
"155","05 - 09","female","2014",13149478
"156","10 - 14","female","2014",12829332
"157","15 - 19","female","2014",13300002
"158","20 - 24","female","2014",14804534
"159","25 - 29","female","2014",16188609
"160","30 - 34","female","2014",17101956
