"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-01","0.08","0.0","46","52","44"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-02","0.23","0.0","45","46","33"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-03","0.00","0.0","29","33","21"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-04","0.00","0.0","23","31","17"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-05","0.12","0.0","37","51","27"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-06","0.00","0.0","40","43","32"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-07","0.48","11.7","31","33","23"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-08","0.00","0.0","24","28","17"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-09","0.01","0.0","31","43","21"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-10","0.00","0.0","33","40","22"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-11","0.00","0.1","16","22","8"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-12","0.00","0.0","22","42","10"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-13","0.00","0.0","36","46","29"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-14","0.00","0.0","37","41","15"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-15","0.00","0.0","13","15","4"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-16","0.00","0.0","13","35","5"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-17","0.73","0.0","39","49","35"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-18","0.00","0.0","31","36","21"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-19","0.00","0.0","30","46","20"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-20","0.15","0.0","37","41","19"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-21","0.00","0.0","18","22","9"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-22","0.00","0.0","18","26","13"
"USW00014739","BOSTON, MA US","42.36057","-71.00975","3.2","2022-01-23","0.01","0.1","25","35","19"
