year,peacekeeping_n
1947,30
1948,600
1949,700
1950,700
1951,700
1952,700
1953,700
1954,700
1955,700
1956,700
1957,6800
1958,7200
1959,6800
1960,26200
1961,22500
1962,26500
1963,12600
1964,13000
1965,13000
1966,13000
1967,13000
1968,6900
1969,7200
1970,7200
1971,7200
1972,7200
1973,9800
1974,11100
1975,11300
1976,11500
1977,11500
1978,16700
1979,13300
1980,13000
1981,12500
1982,12500
1983,12500
1984,12500
1985,12500
1986,12500
1987,12500
1988,13000
1989,17900
1990,13700
1991,15300
1992,52154
1993,69961
1994,69356
1995,31031
1996,24919
1997,14879
1998,14347
1999,18460
2000,37733
2001,47108
2002,39652
2003,45815
2004,64720
2005,69838
2006,80368
2007,84309
2008,91712
2009,98197
2010,98638
2011,99016
2012,94090
2013,98200
2014,104062
2015,107088
2016,100376
2017,92682
2018,89846
2019,83331
2020,81832
2021,75085
